created_at,sentimental_value,sentiment_value_r,hashtags
Fri Apr 03 08:07:58 +0000 2020,0,0,friday mood throwback ibiza summervibes goodvibes ibizastyle corona djlife housemusic artofchilling abhishekmantri
Thu Mar 19 20:56:51 +0000 2020,0,0,jantacurfew lndiaFightsCorona corona
Fri Mar 20 02:02:08 +0000 2020,0,0,nan
Fri Mar 20 05:16:01 +0000 2020,0,0,corona fightagainstcoronavirus immunesupport immunityboost
Fri Mar 20 06:21:30 +0000 2020,0,0,nan
Fri Mar 20 06:13:09 +0000 2020,0,0,dhanaspaithani paithani janatacurfew corona pune maharashtra india
Fri Mar 20 04:25:11 +0000 2020,0.13,1,nan
Fri Mar 20 03:27:07 +0000 2020,0,0,covid19 corona india catsofinstagram kittenplay kittenlove catstagram
Fri Mar 20 03:59:27 +0000 2020,-0.0625,-1,nan
Fri Mar 20 03:25:00 +0000 2020,0.7,1,nan
Fri Mar 20 03:56:37 +0000 2020,0.355,1,workfromhome day whiskers attentionseeking innocent catsofinstagram cats concentration corona covid19 cat
Fri Mar 20 03:28:27 +0000 2020,0.180654762,1,coronarender corona coronavirus preparation UPSC strategy IAS tips gujarati BOOKs motivation course class3 Binsachivalay pattern GPSC PI PSI
Fri Mar 20 05:14:40 +0000 2020,-0.478125,-1,corona covid19 ugoexperiences ugocommunity
Fri Mar 20 06:02:15 +0000 2020,0,0,covid19 corona letshelpnation letshelprelation letshelpgeneration eventindustry weddingindustry letsfaceit
Fri Mar 20 04:12:48 +0000 2020,0,0,BeCool BeHappy BePositive corona
Fri Mar 20 03:45:38 +0000 2020,0,0,socialdistancing covid19 covid corona janatacurfew janatacurfewindia
Fri Mar 20 05:31:27 +0000 2020,0.425,1,nan
Fri Mar 20 03:52:55 +0000 2020,0.083333333,1,nan
Fri Mar 20 05:44:03 +0000 2020,0.314814815,1,Repost Thanks home corona jantacurfew indiafightscorona parvezsindhi
Fri Mar 20 09:49:58 +0000 2020,0.192676768,1,nan
Fri Mar 20 08:00:10 +0000 2020,0,0,nan
Fri Mar 20 09:28:47 +0000 2020,0.5,1,corona protectyourself koronavirus howtoprotect coronavirus artmakersindia
Fri Mar 20 07:46:24 +0000 2020,0,0,corona virus
Fri Mar 20 07:48:21 +0000 2020,0.089177489,1,corona virus
Fri Mar 20 08:02:55 +0000 2020,0,0,nan
Fri Mar 20 07:42:38 +0000 2020,0.3,1,nan
Fri Mar 20 08:54:06 +0000 2020,0.3,1,nan
Fri Mar 20 07:14:35 +0000 2020,0.129365079,1,HappyMe Corona 7years
Fri Mar 20 09:29:21 +0000 2020,0,0,corona covid19 safe familytime India
Fri Mar 20 07:13:02 +0000 2020,0,0,jantacurfew curfew corona coronavirus virus stayhome staysafe safe india indian home house family lafamilia love support government human humanity weddings
Fri Mar 20 07:56:46 +0000 2020,0.25,1,staysafe staysafeoutthere corona
Fri Mar 20 08:43:53 +0000 2020,0.35,1,who corona covid19
Fri Mar 20 11:04:08 +0000 2020,0.1,1,FitnessFriday
Fri Mar 20 11:08:29 +0000 2020,0,0,nan
Fri Mar 20 10:44:33 +0000 2020,0.16,1,nan
Fri Mar 20 12:03:57 +0000 2020,0.180125661,1,coronavirus coronavirusoutbreak coronavirusoutbreakindia
Fri Mar 20 11:42:41 +0000 2020,0.464814815,1,nan
Fri Mar 20 13:28:18 +0000 2020,0.2,1,corona coronavirus covid19 happiness internationaldayofhappiness
Fri Mar 20 13:35:15 +0000 2020,-0.083333333,-1,hittheart officialhittheart hittheartchennai chennai nanganallur india covid19 corona awareness coronavirus istayedatworkforyouyoustayathomeforus
Fri Mar 20 13:40:19 +0000 2020,-0.127777778,-1,nan
Fri Mar 20 14:30:45 +0000 2020,0.136363636,1,kanikakapoor lucknow
Fri Mar 20 14:02:49 +0000 2020,-0.214393939,-1,rjpraveen coronafighters madurai radiocity corona selfawareness covid19
Fri Mar 20 16:09:03 +0000 2020,0.136363636,1,corona contemporaryart
Fri Mar 20 15:20:09 +0000 2020,-0.6,-1,corona humanityfirst
Fri Mar 20 14:51:50 +0000 2020,0,0,Corona kanikakapoor
Fri Mar 20 17:51:32 +0000 2020,0.5,1,nan
Fri Mar 20 17:41:06 +0000 2020,0.5,1,coronavirus corona who health safe virus coronaindia safetytips healthtips thanks
Fri Mar 20 17:16:27 +0000 2020,0.5625,1,nan
Fri Mar 20 17:48:29 +0000 2020,0.78125,1,corona dangerous socialdistance besafe
Fri Mar 20 17:09:57 +0000 2020,-0.5,-1,jantacurfew shutdown lockdown quarantine quarantined socialdistancing corona india modi breakingnews bjp covid covid19 covid19 koronavir¼s¼ korona housearrest
Fri Mar 20 19:26:29 +0000 2020,0,0,corona CoronaPendamic bhopal healthybhopal
Fri Mar 20 20:03:07 +0000 2020,-0.03125,-1,corona virus
