text,sentiment
Casual Friday every day #friday #mood #throwback #ibiza #summervibes #goodvibes #ibizastyle #corona #djlife #housemusic #artofchilling #abhishekmantriStAntonioIbiza ,Neutral sentiment
Social distancing is the key #jantacurfew Please cooperate Jai hind#lndiaFightsCorona #coronaChandigarh India ,Neutral sentiment
Selfisolation is more strict during Corona The government has advised that if you have symptoms of the virus for example a fever or persistent cough you should self isolate for seven days not leaving the house ,Neutral sentiment
Get your immunity test done today#corona#fightagainstcoronavirus #immunesupport #immunityboostTushar infotech ,Neutral sentiment
ocial Distancing Will use this Time to Spend Some Quality Time with Our Beloved Family Lets Fight TogetherStay at Home For Self amp Other Goodness Indias Fight Against Corona Covid 19 ,Neutral sentiment
NATION FIRSTPlease Remain Indoors on Sunday#dhanaspaithani #paithani #janatacurfew #corona #pune #maharashtra #indiaDhanas Paithani Purse House ,Neutral sentiment
days Before Corona or days after Corona no matter I fucking still lift heaviest weight All I need is one barbell and red plates120 kg for RM with maintaining perfect back curve I can take 1015 kg more but form ,Positive sentiment
Stay inside for a week follow all the precautions suggested by government because till now we humans are not smarter than Corona virus #covid19 #corona #india #catsofinstagram #kittenplay #kittenlove #catstagram ,Neutral sentiment
Home Workout since the Corona outbreak is the news my humble request to everyone is to avoid going Gyms Fitness Centres etc Most of these places do understand the consequences of this deadly virus and have shut ,Negative sentiment
I hope Everyone doing good as well everyone knows about Corona Virus so please dont take lightly Avoid close contact with people who are sick Make sure dont touch your nose eyes and mouthCover your ,Positive sentiment
Just as #workfromhome #day is decided #whiskers has other thoughts #attentionseeking #innocent #catsofinstagram #cats #concentration #corona #covid19 #catPune Maharashtra ,Positive sentiment
Badhi exam bandh rehseFight against coronavirus #coronarender#corona#coronavirs #preparation#UPSC #strategy#IAS #tips #gujarati#BOOKs #motivation#course #class3 #Binsachivalay#pattern #GPSC #PI #PSI ,Positive sentiment
Can you suggest some #corona #covid19 #ugoexperiences #ugocommunityGuwahati Assam India ,Negative sentiment
Stying at home is best prevention of #covid19 We have decided to stop operation to break the chain of #corona virus#letshelpnation#letshelprelation#letshelpgeneration#eventindustry #weddingindustry #letsfaceit ,Neutral sentiment
#BeCool #BeHappy #BePositive #coronaDiamond Furniture ,Neutral sentiment
Lets do itIt works#socialdistancing #covid19 #covid #corona #janatacurfew #janatacurfewindiaChennai ,Neutral sentiment
Its not the time to party right now but because your family and you are sitting home trying to stay safe from the Corona Virusits ok to reward yourself So Ill be bakingmaking these classic dinner party ,Positive sentiment
Those were the best days of my life Suddenly the fear of Coronahas installed fears in every onePeople are reverting to old thingsless socialising and spending more time with the family Life has taken a ,Positive sentiment
#Repostplease listen #Thanks My Appeal in my Style Social Distancing is the only solution yet Work from #home #corona #jantacurfew on 22nd March #indiafightscorona #parvezsindhi ,Positive sentiment
How you alone can break the chain and stop the spread of CORONASaanvi Hospital ,Positive sentiment
Corona Effect Cyber Seeds ,Neutral sentiment
How to protect yourself from CoronavirusVideo uploaded to Channel Lets watch#corona #protectyourself #koronavirus #howtoprotect #coronavirus #artmakersindiaWest Bengal ,Positive sentiment
Corona Effect #corona #virusCyber Seeds ,Neutral sentiment
Corona Effect #corona #virusUttam Vichar ,Positive sentiment
Corona EffectUttam Vichar ,Neutral sentiment
On Monday we did corona virus prevention awareness talk at Malwa Institute of Technology Indore by Dr yamini ramesh from asha homeo health center indorewe talked about personal hygiene how to prevent spread of ,Positive sentiment
Happiness is what you feel ,Positive sentiment
Good Morning All #HappyMe In The Times #Corona The World Is Involved With Combatting One Kind Of Virus And The Other Kind Were Put To death Finally Its Done After #7years Of Battle ,Positive sentiment
Stay Safe #corona #covid19 #safe #familytime #IndiaClara Acrylic Furniture ,Neutral sentiment
Stay Home Stay Safe We support #jantacurfew #curfew #corona #coronavirus #virus #stayhome #staysafe #safe #india #indian #home #house #family #lafamilia #love #support #government #human #humanity #weddings ,Neutral sentiment
Mankind received a grim reminder ,Positive sentiment
#FitnessFriday As we all are speaking about Corona PandemicLots of us are doing Work from Home few are traveling to work taking precautions like wearing mask using handsanitizers etcNow lets talk ,Positive sentiment
Let us all stay calm and dont panic Theres no doubt its a tough time for all of us but its the right time to Come Together and SAY TogetherDear Mr Corona We are Ready to Fight With You Be well Aware that ,Neutral sentiment
Go corona go ,Positive sentiment
Lets create this History Together Lets Unite to show the World and the Corona Virus that we are Ready and will do our Best to Fight Back#coronavirus #coronavirusoutbreak #coronavirusoutbreakindia ,Positive sentiment
Always with usDelhi India ,Positive sentiment
With this Corona Stress let us remember our loved ones beautiful Memories shared with them and Smile,Positive sentiment
Please Stay Safe Support Our Community and Our Nation#hittheart #officialhittheart #hittheartchennai #chennai #nanganallur #india #covid19 #corona #awareness #coronavirus #istayedatworkforyouyoustayathomeforus ,Negative sentiment
Haryana Chief Minister Mr Manohar Lal presiding over a meeting to review the steps being taken to check the spread of COVID19 Coronavirus at Chandigarh on March 20 2020 Deputy Chief Minister Mr Dushyant ,Negative sentiment
Corona has proven that Indiasbigger problem is not illiteracy it is stupidity of literate people #kanikakapoor #lucknowJaipur Rajasthan ,Positive sentiment
Raising Awareness#rjpraveen #coronafighters #madurai #radiocity #corona #selfawareness #covid19Radio City Fm ,Negative sentiment
New cases of the novel coronavirus that emerged in the central Chinese city of Wuhan in late December are being reported daily around the world #corona#contemporaryartMumbai Maharashtra ,Positive sentiment
